Название;Полное наименование;Лицензия НБУ;Дата регистрации;МФО;Код ЕГРПОУ;Адрес главного офиса;Вебсайт;Контакт-центр;Е-мейл;Статус;Акционеры банка;Капитал;Дополнительная информация
Приватбанк;"Публичное акционерное общество ""Коммерческий банк ""Приватбанк""";22 от 05.10.2011;19.03.1992;305299;14360570;;;;;;;Государственный;
Ощадбанк;"Публичное акционерное общество ""Коммерческий банк ""Государственный сберегательный банк Украины""";148 от 05.10.2011;31.12.1991;300465;32129;;;;;;;Государственный;
Укрэксимбанк;Публичное акционерное общество «Государственный экспортно-импортный банк Украины»;2 от 05.10.2011;23.01.1992;322313;32112;;;;;;;Государственный;
Дельта банк;;;;;;;;;;Ликвидация;;;
Проминвестбанк;"Публичное акционерное общество «Акционерный
коммерческий промышленно-инвестиционный банк»";1 от 22.06.2012;26.08.1992;300012;39002;;;;;;;Частично иностранный капитал;
UniCredit Bank (Укрсоцбанк);"Публичное акционерное общество ""Укрсоцбанк""";5 от 05.10.2011;27.09.1991;300023;39019;;;;;;;Частично иностранный капитал;
Райффайзен Банк Аваль;Публичное акционерное общество «Райффайзен Банк Аваль»;10 от 05.10.2011;27.03.1992;300335;14305909;;;;;;;Частично иностранный капитал;
Сбербанк России;Публичное акционерное общество «ДОЧЕРНИЙ БАНК СБЕРБАНКА РОССИИ»;198 от 12.10.2011;15.06.2001;320627;25959784;;;;;;;100% иностранный капитал;
Альфа-Банк;Публичное акционерное общество «Альфа-Банк»;61 от 05.10.2011;24.03.1993;300346;23494714;;;;;;;100% иностранный капитал;
ВТБ Банк;Публичное акционерное общество «ВТБ Банк» ;79 от 05.10.2011;11.11.1992;321767;14359319;;;;;;;Частично иностранный капитал;
Надра;;;;;;;;;;Ликвидация;;;
ПУМБ;Публичное акционерное общество «ПЕРВЫЙ УКРАИНСКИЙ МЕЖДУНАРОДНЫЙ БАНК»;8 от 06.10.2011;23.12.1991;334851;14282829;;;;;;;Частный украинский;
Финансы и Кредит;;;;;;;;;;Ликвидация;;;
УкрСиббанк;Публичное акционерное общество «УкрСиббанк»;75 от 05.10.2011;28.10.1991;351005;9807750;;;;;;;Частично иностранный капитал;
ОТП Банк;Публичное акционерное общество «ОТП Банк»;191 от 05.10.2011;02.03.1998;300528;21685166;;;;;;;100% иностранный капитал;
Укргазбанк;Публичное акционерное общество акционерный банк «УКРГАЗБАНК»;123 от 06.10.2011;21.07.1993;320478;23697280;;;;;;;Государственный;
Креди Агриколь банк;Публичное акционерное общество «КРЕДИ АГРИКОЛЬ БАНК»;99 от 12.10.2011;10.02.1993;300614;14361575;;;;;;;Частично иностранный капитал;
Финансовая Инициатива;;;;;;;;;;Временная администрация;;;
Банк Пивденный;Публичное акционерное общество АКЦИОНЕРНЫЙ БАНК «ПИВДЕННЫЙ»;65 от 07.10.2011;03.12.1993;328209;20953647;;;;;;;Частный украинский;
ИНГ Банк;"Публичное акционерное общество ""ИНГ БАНК УКРАИНА""";190 от 07.10.2011;15.12.1997;300539;21684818;;;;;;;100% иностранный капитал;
VAB Банк;;;;;;;;;;Ликвидация;;;
Фидобанк;;;;;;;;;;Ликвидация;;;
Ситибанк;"Публичное акционерное общество ""Ситибанк""";193 от 12.10.2011;11.05.1998;300584;21685485;;;;;;;100% иностранный капитал;
Хрещатик;;;;;;;;;;Ликвидация;;;
Банк Киевская Русь;;;;;;;;;;Ликвидация;;;
Родовид банк;;;;;;;;;;Временная администрация;;;
Златобанк;;;;;;;;;;Ликвидация;;;
Кредит Днепр;Публичное акционерное общество «Банк Кредит Днепр»;70 от 13.10.2011;07.07.1993;305749;14352406;;;;;;;Частный украинский;
Платинум банк;;;;;;;;;;Ликвидация;;;
Укринбанк;;;;;;;;;;Ликвидация;;;
Мегабанк;"Публичное акционерное общество ""МЕГАБАНК""";163 от 14.10.2011;28.10.1991;351629;9804119;;;;;;;Частный украинский;
Универсал Банк;Публичное акционерное общество «Универсал Банк»;92 от 10.10.2011;20.01.1994;322001;21133352;;;;;;;Частный украинский;
Кредобанк;Публичное акционерное общество «КРЕДОБАНК»;;31.03.1992;325365;9807862;;;;;;;Частично иностранный капитал;
Диамантбанк;Публичное акционерное общество «Диамантбанк»;125 от 19.10.2011;17.11.1993;320854;23362711;;;;;;;Частный украинский;
ВБР;;;;;;;;;;Ликвидация;;;
Клиринговый дом;Публичное акционерное общество «Банк «КЛИРИНГОВЫЙ ДОМ»;171 от 13.10.2011;30.12.1996;300647;21665382;;;;;;;Частный украинский;
Правэкс-банк;"Публичное акционерное общество коммерческий банк ""ПРАВЭКС-БАНК""";7 от 10.10.2011;29.12.1992;380838;14360920;;;;;;;100% иностранный капитал;
Национальные инвестиции;;;;;;;;;;Ликвидация;;;
