заголовок,заголовок,заголовок
1996
01.02.1997,Январь
01.03.1997,Февраль
01.04.1997,Март
01.05.1997,Апрель
01.06.1997,Май
01.07.1997,Июнь
01.08.1997,Июль
01.09.1997,Август
01.10.1996,Сентябрь,102
01.11.1996,Октябрь,101.5
01.12.1996,Ноябрь,101.2
01.01.1997,Декабрь,100.9
1997
01.02.1997,Январь,102.2
01.03.1997,Февраль,101.2
01.04.1997,Март,100.1
01.05.1997,Апрель,100.8
01.06.1997,Май,100.8
01.07.1997,Июнь,100.1
01.08.1997,Июль,100.1
01.09.1997,Август,100
01.10.1997,Сентяюрь,101.2
01.11.1997,Октябрь,100.9
01.12.1997,Ноябрь,100.9
01.01.1998,Декабрь,101.4
1998
01.02.1998,Январь,101.3
01.03.1998,Февраль,100.2
01.04.1998,Март,100.2
01.05.1998,Апрель,101.3
01.06.1998,Май,100
01.07.1998,Июнь,100
01.08.1998,Июль,99.1
01.09.1998,Август,100.2
01.10.1998,Сентяюрь,103.8
01.11.1998,Октябрь,106.2
01.12.1998,Ноябрь,103
01.01.1999,Декабрь,103.3
1999
01.02.1999,Январь,101.5
01.03.1999,Февраль,101
01.04.1999,Март,101
01.05.1999,Апрель,102.3
01.06.1999,Май,102.4
01.07.1999,Июнь,100.1
01.08.1999,Июль,99
01.09.1999,Август,101
01.10.1999,Сентяюрь,101.4
01.11.1999,Октябрь,101.1
01.12.1999,Ноябрь,102.9
01.01.2000,Декабрь,104.1
2000
01.02.2000,Январь,104.6
01.03.2000,Февраль,103.3
01.04.2000,Март,102
01.05.2000,Апрель,101.7
01.06.2000,Май,102.1
01.07.2000,Июнь,103.7
01.08.2000,Июль,99.9
01.09.2000,Август,100
01.10.2000,Сентяюрь,102.6
01.11.2000,Октябрь,101.4
01.12.2000,Ноябрь,100.4
01.01.2001,Декабрь,101.6
2001
01.02.2001,Январь,101.5
01.03.2001,Февраль,100.6
01.04.2001,Март,100.6
01.05.2001,Апрель,101.5
01.06.2001,Май,100.4
01.07.2001,Июнь,100.6
01.08.2001,Июль,98.3
01.09.2001,Август,99.8
01.10.2001,Сентяюрь,100.4
01.11.2001,Октябрь,100.2
01.12.2001,Ноябрь,100.5
01.01.2002,Декабрь,101.6
2002
01.02.2002,Январь,101
01.03.2002,Февраль,98.6
01.04.2002,Март,99.3
01.05.2002,Апрель,101.4
01.06.2002,Май,99.7
01.07.2002,Июнь,98.2
01.08.2002,Июль,98.5
01.09.2002,Август,99.8
01.10.2002,Сентяюрь,100.2
01.11.2002,Октябрь,100.7
01.12.2002,Ноябрь,100.7
01.01.2003,Декабрь,101.4
2003
01.02.2003,Январь,101.5
01.03.2003,Февраль,101.1
01.04.2003,Март,101.1
01.05.2003,Апрель,100.7
01.06.2003,Май,100
01.07.2003,Июнь,100.1
01.08.2003,Июль,99.9
01.09.2003,Август,98.3
01.10.2003,Сентяюрь,100.6
01.11.2003,Октябрь,101.3
01.12.2003,Ноябрь,101.9
01.01.2004,Декабрь,101.5
2004
01.02.2004,Январь,101.4
01.03.2004,Февраль,100.4
01.04.2004,Март,100.4
01.05.2004,Апрель,100.7
01.06.2004,Май,100.7
01.07.2004,Июнь,100.7
01.08.2004,Июль,100
01.09.2004,Август,99.9
01.10.2004,Сентяюрь,101.3
01.11.2004,Октябрь,102.2
01.12.2004,Ноябрь,101.6
01.01.2005,Декабрь,102.4
2005
01.02.2005,Январь,101.7
01.03.2005,Февраль,101
01.04.2005,Март,101.6
01.05.2005,Апрель,100.7
01.06.2005,Май,100.6
01.07.2005,Июнь,100.6
01.08.2005,Июль,100.3
01.09.2005,Август,100
01.10.2005,Сентяюрь,100.4
01.11.2005,Октябрь,100.9
01.12.2005,Ноябрь,101.2
01.01.2006,Декабрь,100.9
2006
01.02.2006,Январь,101.2
01.03.2006,Февраль,101.8
01.04.2006,Март,99.7
01.05.2006,Апрель,99.6
01.06.2006,Май,100.5
01.07.2006,Июнь,100.1
01.08.2006,Июль,100.9
01.09.2006,Август,100
01.10.2006,Сентяюрь,102
01.11.2006,Октябрь,102.6
01.12.2006,Ноябрь,101.8
01.01.2007,Декабрь,100.9
2007
01.02.2007,Январь,100.5
01.03.2007,Февраль,100.6
01.04.2007,Март,100.2
01.05.2007,Апрель,100
01.06.2007,Май,100.6
01.07.2007,Июнь,102.2
01.08.2007,Июль,101.4
01.09.2007,Август,100.6
01.10.2007,Сентяюрь,102.2
01.11.2007,Октябрь,102.9
01.12.2007,Ноябрь,102.2
01.01.2008,Декабрь,102.1
2008
01.02.2008,Январь,102.9
01.03.2008,Февраль,102.7
01.04.2008,Март,103.8
01.05.2008,Апрель,103.1
01.06.2008,Май,101.3
01.07.2008,Июнь,100.8
01.08.2008,Июль,99.5
01.09.2008,Август,99.9
01.10.2008,Сентяюрь,101.1
01.11.2008,Октябрь,101.7
01.12.2008,Ноябрь,101.5
01.01.2009,Декабрь,102.1
2009
01.02.2009,Январь,102.9
01.03.2009,Февраль,101.5
01.04.2009,Март,101.4
01.05.2009,Апрель,100.9
01.06.2009,Май,100.5
01.07.2009,Июнь,101.1
01.08.2009,Июль,99.9
01.09.2009,Август,99.8
01.10.2009,Сентяюрь,100.8
01.11.2009,Октябрь,100.9
01.12.2009,Ноябрь,101.1
01.01.2010,Декабрь,100.9
2010
01.02.2010,Январь,101.8
01.03.2010,Февраль,101.9
01.04.2010,Март,100.9
01.05.2010,Апрель,99.7
01.06.2010,Май,99.4
01.07.2010,Июнь,99.6
01.08.2010,Июль,99.8
01.09.2010,Август,101.2
01.10.2010,Сентяюрь,102.9
01.11.2010,Октябрь,100.5
01.12.2010,Ноябрь,100.3
01.01.2011,Декабрь,100.8
2011
01.02.2011,Январь,101
01.03.2011,Февраль,100.9
01.04.2011,Март,101.4
01.05.2011,Апрель,101.3
01.06.2011,Май,100.8
01.07.2011,Июнь,100.4
01.08.2011,Июль,98.7
01.09.2011,Август,99.6
01.10.2011,Сентяюрь,100.1
01.11.2011,Октябрь,100
01.12.2011,Ноябрь,100.1
01.01.2012,Декабрь,100.2
2012
01.02.2012,Январь,100.2
01.03.2012,Февраль,100.2
01.04.2012,Март,100.3
01.05.2012,Апрель,100
01.06.2012,Май,99.7
01.07.2012,Июнь,99.7
01.08.2012,Июль,99.8
01.09.2012,Август,99.7
01.10.2012,Сентяюрь,100.1
01.11.2012,Октябрь,100
01.12.2012,Ноябрь,99.9
01.01.2013,Декабрь,100.2
2013
01.02.2013,Январь,100.2
01.03.2013,Февраль,99.9
01.04.2013,Март,100
01.05.2013,Апрель,100
01.06.2013,Май,100.1
01.07.2013,Июнь,100
01.08.2013,Июль,99.9
01.09.2013,Август,99.3
01.10.2013,Сентяюрь,100
01.11.2013,Октябрь,100.4
01.12.2013,Ноябрь,100.2
01.01.2014,Декабрь,100.5
2014
01.02.2014,Январь,100.2
01.03.2014,Февраль,100.6
01.04.2014,Март,102.2
01.05.2014,Апрель,103.3
01.06.2014,Май,103.8
01.07.2014,Июнь,101
01.08.2014,Июль,100.4
01.09.2014,Август,100.8
01.10.2014,Сентяюрь,102.9
01.11.2014,Октябрь,102.4
01.12.2014,Ноябрь,101.9
01.01.2015,Декабрь,103
2015
01.02.2015,Январь,103.1,103.1,128.5,128.5
01.03.2015,Февраль,105.3,108.6,131.5,134.5
01.04.2015,Март,110.8,120.3,136.3,145.8
01.05.2015,Апрель,114,137.1,142.7,160.9
01.06.2015,Май,102.2,140.1,146,158.4
01.07.2015,Июнь,100.4,140.7,148.1,157.5
01.08.2015,Июль,99,133.9,149.1,155.3 
01.09.2015,Август,99.2,138.2,149.6,152.8
01.10.2015,Сентябрь,102.3,141.4,149.9,151.9
01.11.2015,Октябрь,98.7,139.5,149.5,146.4 
01.12.2015,Ноябрь,102,142.3,149.2,146.6
01.01.2016,Декабрь,100.7,143.3,148.7,143.3
2016
01.02.2016,Январь,100.9,100.9,140.3,140.3
01.03.2016,Февраль,99.6,100.5,136.4,132.7
01.04.2016,Март,101,101.5,130.8,120.9
01.05.2016,Апрель,103.5,105.1,124.6,109.8
01.06.2016,Май,100.1,105.2,120.7,107.5
01.07.2016,Июнь,99.8,104.9,118.1,106.9
01.08.2016,Июль,99.9,104.8,116.5,107.9
01.09.2016,Август,99.7,104.5,115.4,108.4
01.10.2016,Сентябрь,101.8,106.4,114.5,107.9
01.11.2016,Октябрь,102.8,109.4,114.3,112.4
01.12.2016,Ноябрь,101.8,111.4,114.1,112.1
01.01.2017,Декабрь,100.9,112.4,113.9,112.4
2017
01.02.2017,Январь,101.1,101.1,112.6,112.6
01.03.2017,Февраль,101,102.1,113.4,114.2
01.04.2017,Март,101.8,103.9,113.9,115.1
01.04.2017,Апрель,100.9,104.9,113.5,112.2
