Банк;Процентные доходы;Комисионные доходы;Всего Прибыль/убыток
Банки с государственной долей;;;
Приватбанк;33079162,19;10968388,49;-135309076,3
Укрэксимбанк;13676714,86;1263990,303;-1011106,496
Ощадбанк;19488683,13;2912483,264;468168,7455
Укргазбанк;5477423,426;450426,2762;293681,4112
УБРР;11228,72926;73,05696;-3145,35275
Расчетный центр;19402,60444;873,70575;2091,30041
Итого по банкам с государственной долей;71752614,93;15596235,1;-135559386,7
Банки иностранных банковских групп;;;
Проминвестбанк;4178571,895;336561,2109;-4227140,846
UniCredit Bank (Укрсоцбанк);2616884,972;1062234,159;-10366698,98
Райффайзен Банк Аваль;6551669,701;2936711,745;3820643,748
ВТБ Банк;1490588,451;238276,5054;-6320415,983
Кредобанк;1286575,812;346125,8177;263676,3313
VS Bank (Фольксбанк);349054,9528;65204,67078;63605,37712
Марфин банк;257451,4198;126428,6175;23436,46998
УкрСиббанк;4033515,432;1617084,487;-993967,8424
Идея Банк;923931,5657;222545,7742;53339,64093
Правэкс-банк;533402,5234;209475,9955;-588380,4035
Креди Агриколь банк;2851788,057;781780,914;807786,1818
Пиреус Банк;239787,7846;69314,43693;4046,98889
Альфа-Банк;5359310,161;1162248,738;-4094772,784
ИНГ Банк;1500041,84;42241,66373;791102,9285
ОТП Банк;3244313,093;888737,0718;962009,8221
Ситибанк;2068483,066;103492,5186;1437499,307
ПроКредит Банк;1403149,349;196037,6655;300647,8922
Сбербанк России;6334842,827;631282,0453;-2817967,495
Фортуна-банк;104022,9964;17010,76949;-1759159,146
Forward Bank (Русский Стандарт);525928,1654;39288,58351;6246,84613
Кредит Европа Банк;146187,9453;16469,25054;60725,78754
Дойче банк ДБУ;267704,3726;29925,47742;112796,1316
СЕБ корпоративный банк;152122,1667;9615,91948;57881,89344
Кредитвест Банк;113329,2241;25424,03247;28354,63245
БТА банк;101826,2391;15380,91386;564,34374
Итого по банкам  иностранных банковских групп;46634484,01;11188898,98;-22374139,16
Банки с приватным капиталом;;;
ПУМБ;5045758,227;1329329,659;367010,5129
Банк Пивденный;1883395,913;472912,5629;68949,46069
Мегабанк;891661,4009;202655,0182;25727,45515
Кредит Днепр;543014,1712;149446,7708;-120593,5002
Диамантбанк;748690,9427;199674,273;-573015,7428
Банк Восток;801568,895;197250,9284;95382,64433
Таскомбанк;896786,1944;119365,0701;5763,7109
Международный инвестиционный банк;498235,2864;84906,42138;42664,66185
Универсал Банк;556241,193;86494,0254;77141,1641
Банк инвестиций и сбережений;538020,3296;54985,9711;7782,07945
А-Банк;1001226,47;285800,6341;118407,356
Клиринговый дом;314265,5296;47166,92485;-83243,42147
Аркада;255578,5232;286121,415;9726,04846
Полтава-банк;196379,2286;71991,80273;74322,05061
