Банк;Всего собственного капитала
Банки с государственной долей;
Приватбанк;12664423,85
Укрэксимбанк;5259718,581
Ощадбанк;14932547,91
Укргазбанк;4989347,143
УБРР;62135,87621
Расчетный центр;152694,9395
Итого по банкам с государственной долей;38060868,3
Банки иностранных банковских групп;
Проминвестбанк;5149420,97
UniCredit Bank (Укрсоцбанк);12816948,18
Райффайзен Банк Аваль;10072077,54
ВТБ Банк;3394730,253
Кредобанк;1087780,946
VS Bank (Фольксбанк);899074,5735
Марфин банк;412364,1816
УкрСиббанк;4104057,013
Идея Банк;284301,0714
Правэкс-банк;1127665,708
Креди Агриколь банк;2475633,864
Пиреус Банк;516141,7885
Альфа-Банк;3311724,09
ИНГ Банк;3737992,72
ОТП Банк;2559994,538
Ситибанк;2099170,86
ПроКредит Банк;1262625,752
Сбербанк России;3722339,985
Фортуна-банк;715754,3857
Forward Bank (Русский Стандарт);346639,8543
Кредит Европа Банк;507934,0238
Дойче банк ДБУ;355315,5643
СЕБ корпоративный банк;432579,9446
Кредитвест Банк;253036,3026
БТА банк;1650956,91
Итого по банкам  иностранных банковских групп;63296261,01
Банки с приватным капиталом;
ПУМБ;4048295,418
Банк Пивденный;2086875,402
Мегабанк;862974,6019
Кредит Днепр;598447,2182
Диамантбанк;113333,5041
Банк Восток;523016,0958
Таскомбанк;651845,4652
Международный инвестиционный банк;208174,5538
Универсал Банк;781743,1631
Банк инвестиций и сбережений;540981,7469
А-Банк;390572,9472
Клиринговый дом;673789,4517
Аркада;785956,2757
Полтава-банк;543444,5718
Мисто банк;198304,5341
Банк Глобус;290948,4982
Банк Авангард;213053,168
Банк Грант;489519,4442
Банк Новый;48516,67155
Коминвестбанк;159964,6421
Мотор-Банк;154476,2426
Банк Сич;129897,8791
Асвио банк;337890,3173
БАНК 3/4;504468,4189
Европромбанк;187970,9036
КристалБанк;199238,6081
Радабанк;237476,7394
Юнекс банк;184477,4853
Банк Богуслав;193454,4624
Финбанк;161834,1462
МетаБанк;157308,0793
Украинский капитал;141695,1321
Укрстройинвестбанк;129710,4083
Окси банк;211126,201
Айбокс Банк (Агрокомбанк);170125,4222
ДИВИ Банк;256566,4289
Поликомбанк;185636,3365
Аккордбанк;82614,77899
ПФБ;180047,616
Конкорд;166746,1238
Траст-капитал;224127,2925
Вернум банк;183514,1146
РВС Банк;239662,2065
Банк Альянс;187777,9254
Фамильный;81825,91765
Апекс-банк;21459,61788
Вектор банк;120684,3427
Земельный капитал;118048,6203
Альтбанк (Неос банк);132969,7934
Финансовый партнер;127950,7174
Банк Портал;128959,606
Кредит оптима банк;126176,2542
Альпари банк;127160,8552
Гефест;81124,36742
Банк Центр;129670,0061
Агропросперис Банк (АСТРА БАНК);133759,3445
коммерческий индустриальный банк;141450,5977
Первый Инвестиционный Банк;238554,5085
Банк Львов;177972,9159
Экспресс-Банк;430446,0059
Индустриалбанк;845088,1834
Регион-банк;149414,6769
Итого по банкам с приватным капиталом;22330316,97
Итого по платежеспособным банкам;123687446,3
Неплатежеспособные банки;
Родовид банк;3029220,377
НК Банк;141772,3568
УкрСиббанк;347610,67
Платинум банк;-400219,193
Финансовая Инициатива;-2389900,61
Юнисон;258129,9029
Инвестбанк;
Итого по неплатежеспособным банкам;986613,5035
ИТОГО;124674059,8
