Банк;Депозиты юридических лиц;Депозиты физических лиц;Всего обязательств;В т. ч. в иностранной валюте
Банки с государственной долей;;;;
Приватбанк;29906075,3;151039802,1;207353196,7;104516887
Укрэксимбанк;59314130,76;24456598,31;155044113,7;129084287,5
Ощадбанк;75271271,25;69147978,56;195166730,2;121008936,1
Укргазбанк;32622912,94;13558052,87;48691710,56;23754565,93
УБРР;19,89471;0,22828;57261,78072;0
Расчетный центр;30934,50077;0;40589,23308;33,37182
Итого по банкам с государственной долей;197145344,6;258202432,1;606353602,2;378364709,8
Банки иностранных банковских групп;;;;
Проминвестбанк;3572926,389;5301996,259;29174475,5;23903874,68
UniCredit Bank (Укрсоцбанк);10621826,56;16154422,78;28983148,68;12821651,52
Райффайзен Банк Аваль;26674444,13;17054868,58;45927656,97;12302766,6
ВТБ Банк;3766342,724;4535759,747;17245341,89;11533788,55
Кредобанк;4104017,616;3817348,12;9916716,671;4310322,942
VS Bank (Фольксбанк);560372,0584;459672,3979;3010205,581;2272813,09
Марфин банк;1688689,458;1416780,166;3126383,166;1376890,33
УкрСиббанк;24925223,98;11498880,18;41263367,57;17125829,17
Идея Банк;681384,4131;2179058,281;3071934,388;391771,2573
Правэкс-банк;1489109,493;1515603,645;3275852,651;1184283,569
Креди Агриколь банк;19044805;6165519,228;27419546,43;11739537,56
Пиреус Банк;787262,2164;943144,6654;2812510,377;1816756,095
Альфа-Банк;13661716,12;15491390,01;35642190,08;20169000,17
ИНГ Банк;4521111,334;19257,50935;13620497,95;9473967,725
ОТП Банк;12463792,25;9338632,444;22271469,66;8184042,801
Ситибанк;16753141,21;5164,65091;17360499,5;3775159,498
ПроКредит Банк;5049497,808;4678109,496;10854579,65;4235858,529
Сбербанк России;7381423,348;11416645,49;44633470,82;37502937,62
Фортуна-банк;302955,8842;696178,2012;1036713,941;466926,5002
Forward Bank (Русский Стандарт);38635,25489;1033712,43;1591738,676;600307,693
Кредит Европа Банк;256756,3947;29568,67788;1735051,513;1445697,785
Дойче банк ДБУ;2096646,1;0;2110854,809;881641,1354
СЕБ корпоративный банк;978726,4638;3973,94217;1563892,619;813138,5854
Кредитвест Банк;406330,66;112242,1218;917578,1382;559010,2484
БТА банк;101729,5829;290458,6924;541203,6173;216525,5892
Итого по банкам  иностранных банковских групп;161928866,5;114158387,7;369106880,9;189104499,2
Банки с приватным капиталом;;;;
ПУМБ;18472332,75;14713184,6;40504312,33;21848588,31
Банк Пивденный;5753063,279;6572036,294;18587729,58;11830932,95
Мегабанк;3646015,273;2795547,991;8254191,356;4864856,008
Кредит Днепр;2925632,874;4516652,785;7680706,117;3575572,033
Диамантбанк;2413761,108;2079191,804;7301178,107;3089118,925
Банк Восток;3677870,544;2534177,496;7241864,186;3681400,626
Таскомбанк;3370392,433;2363976,282;7476568,497;3078421,896
Международный инвестиционный банк;4819801,648;1547178,716;6684633,381;3663877,507
Универсал Банк;2219386,264;2013574,947;4312159,076;2929138,103
Банк инвестиций и сбережений;2319704,283;1209913,653;4039502,038;3241202,409
А-Банк;348291,2679;2383948,552;2866187,012;512183,6033
Клиринговый дом;1656969,279;500658,3434;2169540,017;5130086,15
Аркада;265834,7481;731028,6551;1133587,436;3523,49195
Полтава-банк;712814,9584;524535,8505;1293094,198;169321,2749
Мисто банк;437730,9617;848062,0011;1600274,569;1089918,805
Банк Глобус;464251,7851;580828,4788;1207866,351;277291,2186
Банк Авангард;1011361,272;8667,52513;1119886,715;300023,6844
Банк Грант;304744,4918;377362,1518;725281,1582;390263,132
Банк Новый;1032353,782;96201,55268;1268251,857;459829,6328
Коминвестбанк;406465,4774;528180,8954;942960,6413;473180,7332
Мотор-Банк;268127,0961;772516,0162;1045324,361;815693,1904
Банк Сич;410832,6158;523204,2335;998699,2511;412991,4629
Асвио банк;258572,1172;361809,7371;636072,1683;131276,8792
БАНК 3/4;95436,97552;198280,7214;309581,4108;84520,13971
Европромбанк;45301,14667;542541,4599;591674,1353;465013,7635
КристалБанк;546299,3114;109709,1383;662023,0451;21430,49674
Радабанк;338154,5491;234144,7434;581915,1147;152247,4876
Юнекс банк;232758,8183;341167,5254;580271,8162;163072,835
Банк Богуслав;229147,7381;289927,4395;587127,1671;179739,2344
Финбанк;120126,3576;142,74962;489072,1286;355209,7596
МетаБанк;211084,5089;243507,6865;465783,5822;120108,7623
Украинский капитал;146118,0557;252189,0751;431498,3624;206676,7002
Укрстройинвестбанк;261580,1681;108527,6809;374489,1355;96449,60181
Окси банк;120756,4844;242831,2758;365408,6722;244182,8658
Айбокс Банк (Агрокомбанк);186087,2137;148226,0748;463110,4236;90269,07229
ДИВИ Банк;19375,48796;14420,49825;210929,2894;22242,64934
Поликомбанк;141380,3792;200132,8846;367087,4035;93729,2518
Аккордбанк;80117,77409;164724,5918;369248,2914;240927,0741
ПФБ;134965,6525;83369,4401;227384,453;62594,19128
Конкорд;92667,37005;101000,7286;220670,526;46674,42121
Траст-капитал;27795,0236;85499,17626;122908,0038;77899,7431
Вернум банк;54976,57124;84227,14166;164058,8737;37717,27918
РВС Банк;66368,22742;2551,58703;86479,40272;601,38021
Банк Альянс;98751,50636;488,77004;125193,5319;53712,18405
Фамильный;56669,77929;8733,28065;209100,9463;140892,3007
Апекс-банк;78965,52263;103248,6796;189519,0655;108982,5561
Вектор банк;3640,35357;74370,32942;83149,24497;13000,42607
Земельный капитал;31998,73815;35658,38676;101302,9423;39831,35856
Альтбанк (Неос банк);137835,4759;132542,1032;276691,9799;33870,78128
Финансовый партнер;26401,4123;8433,38589;35444,04284;13671,03769
Банк Портал;29371,70618;1462,99922;32324,60742;4900,70976
Кредит оптима банк;2275,82596;3346,93301;12302,7588;1691,52677
Альпари банк;1097,06216;263,47297;2279,76079;125,33142
Гефест;2,45493;0;216,20399;0
Банк Центр;51216,64624;28757,23724;87523,13134;27746,42705
Агропросперис Банк (АСТРА БАНК);102397,1735;1363,47216;182558,014;87243,7571
коммерческий индустриальный банк;43454,21234;115099,4809;168271,9549;37445,06363
Первый Инвестиционный Банк;482846,4671;498991,1542;1044406,882;359953,9507
Банк Львов;352631,8871;685402,935;1292673,872;663124,4718
Экспресс-Банк;466215,5665;397267,2201;978047,4879;272213,3627
Индустриалбанк;539365,2006;1318425,761;1937930,835;1114810,297
Регион-банк;75210,63845;106185,73;183736,1856;40266,9794
Итого по банкам с приватным капиталом;62927155,75;55549601,51;143703265,1;77743481,26
Итого по платежеспособным банкам;422001366,8;427910421,3;1119163748;645212690,3
Неплатежеспособные банки;;;;
Родовид банк;107763,163;8262,01289;5123256,693;243095,5548
НК Банк;54387,43742;10083,94089;107192,6143;1489,21863
УкрСиббанк;258390,4591;377302,6098;1141655,373;829585,5008
Платинум банк;812515,4933;6081236,712;7499311,535;1862074,645
Финансовая Инициатива;895184,9557;1394240,621;16736641,38;1428717,435
Юнисон;82921,22177;44825,02398;285715,5096;191864,6029
Инвестбанк;;;;
Итого по неплатежеспособным банкам;2211162,73;7915950,921;30893773,11;4556826,957
ИТОГО;424212529,6;435826372,2;1150057521;649769517,3
